MAP KEY,TAX PARCEL,JAXGIS,ACRES,CURRENT USE,POTENTIAL  FOR  REDEVELOPMENT,ADDRESS,ASSESSED VALUE,JUST MARKET VALUE*,DISTRICT,ZONING,MAX HEIGHT,WATERFRONT,RESERVATION OF WATERFRONT EASEMENT,EXISTING SUBMERGED LAND LEASE,"HISTORIC 
LANDMARK",APPLICABLE PLANS,PARCEL DETAILS
7,075018 0000,075018 0000,0.07,Vacant Land,NO,"0 DUVAL ST W, 32204; Duval/Stuart/Johnson",24720,24720,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
7,075016 0000,075016 0000,0.07,Vacant Land,NO,"0 DUVAL ST W, 32204; Duval/Stuart/Johnson",25232,25232,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
7,075012 0000,075012 0000,0.07,Vacant Land,NO,"0 DUVAL ST W, 32204; Duval/Stuart/Johnson",24952,24952,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
7,075011 0000,075011 0000,0.02,Vacant Land,NO,"0 JOHNSON ST, 32204; Johnson/Church/Duval",5392,5392,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
8,	074997 0000,	074997 0000,1.13,Occupied Land & Building (JSO stable),NO,"1076 DUVAL ST W, 32204",791032,791032,LaVilla,CCBD,75',NO,NO,NO,NO,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
9,074978 0000,074978 0000,1.93,Retention Pond,NO,"0 LEE ST, 32204; Lee/Duval/Monroe/Johnson",343,343,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Emerald Trail is being developed around this pond as an amenity with overlooks. 

Currently managed by RWSM"
10,074896 0000,074896 0000,3.62,Vacant Land //  Portion of parcel leased to Apex ,PARTIAL,"200 LEE ST N, 32204",975885,975885,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Building footprint leased to Apex Color; Retention pond may be available for redevelopment to activate Lift Ev'ry Voice And Sing Park. Subject to Apex purchase option.
11,074896 0025,074896 0025,0.34,Lee St. Right-of-Way,NO,"0 LEE ST N, 32204; Lee/Monroe/Adams",14923,14923,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Now part of right-of-way. 

Currently managed by RWSM "
12,074828 0010,074828 0010,0.25*,Park/Recreational ,NO,"0 LEE ST, 32202; Lee/Adams/Houston",87120,87120,LaVilla,CCBD,75',NO,NO,NO,YES,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Portion of the Lift Ev'ry Voice and Sing Park. Actual park is the entire frontage of the block although this parcel info is smaller.
"
12,074828 0020,074828 0020,0.41,Park and ROW,NO,0 Lee St. 32202;                                         Lee/Adams/Pearson Park Trail,TBD,TBD,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Portion of the Lift Ev'ry Voice and Sing Park. Actual park is the entire frontage of the block although this parcel info is smaller.
13,074837 0000,074837 0000,0.3,Vacant Land,YES,"0 BAY ST W, 32204; Intersection of Bay & Johnson",116218,116218,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Impacted by skyway air rights. Suitable for mixed use, activated frontage will be important."
13,074839 0000,074839 0000,0.06,Vacant Land,YES,"1017 BAY ST W, 32204",41340,41340,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
13,074840 0000,074840 0000,0.25,Vacant Land,YES,"0 BAY ST W, 32204; Intersection of Bay & Lee",165375,165375,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
13,074836 0000,074836 0000,0.66,Vacant Land,YES,"0 FORSYTH ST W, 32204; Forsyth/Johnson/Lee",433890,433890,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
13,074838 0000,074838 0000,0.06,Vacant Land,YES,"1015 BAY ST W, 32204",41340,41340,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
14,074887 0000,074887 0000,18.8,Prime Osborn Convention Center,PARTIAL,"1000 BAY ST W, 32204",48028679,48028679,LaVilla,CCBD,75',NO,NO,NO,YES,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Envisioned for redevelopment as commuter rail and Amtrak terminal, and possible education campus or innovation hub."
15,075399 0000,075399 0000,0.05,Vacant Land,YES,"1511 HARPER ST, 32204",6492,6492,Brooklyn,CCBD,90',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,Active disposition in process - purchase contract.
16,075432 0020,075432 0020,0.18,Vacant Land,NO,"0 HARPER ST, 32204; along McCoy's Creek",23913,23913,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,Adjacent to McCoy's Creek. Planned for use in McCoy's Creek project.
16,075433 0200,075433 0200,0.16,Vacant Land,NO,"0 HARPER ST, 32204; along McCoy's Creek",21384,21384,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,
16,075435 0000,075435 0000,0.35,Vacant Land,NO,"0 MYRTLE AVE S, 32204; along McCoy's Creek",53085,53085,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,
16,075437 0000,075437 0000,1.46,Vacant Land,NO,"0 MYRTLE AVE S, 32204; along McCoy's Creek",190269,190269,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,
16,075434 0000,075434 0000,0.41,Vacant Land,NO,"0 HARPER ST, 32204; along McCoy's Creek",53085,53085,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,
16,075431 0000,075431 0000,0.3,Vacant Land,NO,"1412 HARPER ST, 32204 ",39036,39036,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,
17,075424 0000,075424 0000,0.71,Vacant Land,NO,"0 HANOVER ST, 32204; along McCoy's Creek",2485,2485,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,"Adjacent to McCoy's Creek. Could be subject to McCoy's Creek project use. Likely to be incorporated as park. 

Currently managed by RWSM / Description: Drainage"
17,075425 0000,075425 0000,0.64,Vacant Land,NO,"0 HANOVER ST, 32204; along McCoy's Creek",2229,2229,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,"Adjacent to McCoy's Creek. Could be subject to McCoy's Creek project use.

Currently managed by RWSM / Description: Drainage"
18,089413 0000,089413 0000,0.35,Vacant Land,NO,"0 SPRUCE ST, 32204; along McCoy's Creek",1225,1225,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,"Adjacent to McCoy's Creek. Could be subject to McCoy's Creek project use.

Currently managed by Parks & Rec"
19,089411 0000,089411 0000,2.04,Brooklyn Park,NO,"0 SPRUCE ST, 32204; along McCoy's Creek on one side; Spruce & Jackson on other side",411463,552412,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,Park to be improved with new amenities.
20,089313 0000,089313 0000,0.01,Vacant Land,YES,"0 ELM ST, 32204; Elm/Dora/Jackson",4118,5118,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,Will retain easement near McCoys Creek. 
21,089552 0005,089552 0005,0.26,Vacant Land,NO,"0 ELM ST, 32204; Elm/Price/Myrtle",20737,69650,Brooklyn,CCBD,90',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; McCoy's Creek Master Plan,"Land in between Myrtle Ave Park and various parcels owned by different entities. Could be subject to McCoy's Creek project use. 

Currently managed by Parks & Rec"
21,089552 0020,089552 0020,0.35,Park/Recreational ,NO,"0 MYRTLE AVE S, 32204; adjacent to McCoy's creek and Myrtle Ave",80711,104123,Brooklyn,CCBD,90',YES,YES,NO,N/A,Northbank CRA Plan & BID Strategy,"Myrtle Avenue Park. Adjacent to McCoy's Creek and will be part of McCoys project.

Currently managed by Parks & Rec"
22,089271 0000,089271 0000,0.06,Vacant Land,YES,"0 SPRUCE ST, 32204; Spruce/Price",19214,32812,Brooklyn,CCBD,90',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,
23,089298 0000,089298 0000,0.02,Vacant Land,YES,"0 SPRUCE ST, 32204; Spruce/Dora",84,10270,Brooklyn,CCBD,90',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,
24,089200 0000,089200 0000,1.28,J.S. Johnson Park,NO,"1112 JACKSON ST, 32204",478986,850594,Brooklyn,CCBD,90',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,"Park and Community Center. Currently managed by Parks & Rec

"
25,089220 0000,089220 0000,1.95,Retention Pond,NO,"330 RIVERSIDE AVE, 32204",502386,502386,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,"Subject to agreements with adjacent residential development.
 
Available for park programming.

Currently managed by RWSM"
25,089142 0070,089142 0070,0.21,Vacant Land,NO,"0 MAGNOLIA ST, 32204; Magnolia/Jackson",208,208,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,"Additional ROW managed by RWSM
"
25,089219 0010,089219 0010,0,Vacant Land,NO,"0 MAGNOLIA ST, 32204; Magnolia/Dora",1305,1305,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,Additional ROW managed by RWSM
26,090116 0000,090116 0000,2.84, Gefen Park,NO,"0 RIVERSIDE AVE, 32202; Riverside/Alfred DuPont/Computer Power",4275064,4275064,Brooklyn,PUD,0'-75' Riverfront Zone,YES,YES,YES,N/A,Northbank CRA Plan & BID Strategy; Riverfront Design Strategy,Currently managed by Parks & Rec; subject to restrictive covenant.
27,089138 0000,089138 0000,0.05,Vacant Land,NO,"0 PARK ST, 32204; Park/Stonewall/McCoy's Creek Blvd",8786,24962,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,Portion of larger connection between McCoys Greenway and Emerald Trail.
28,089021 0100,089021 0100,0.06,Occupied Land (parking Lot),NO,"0 MAGNOLIA ST, 32204; Magnolia/Stonewall",32675,32675,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy, City Parking lot to serve nearby residential and retail as well as McCoys Greenway and Riverwalk.
28,089021 0000,089021 0000,0.13,Occupied Land (parking Lot),NO,"74 MAGNOLIA ST, 32204",68638,68638,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,
28,089027 0000,089027 0000,0.09,Occupied Land (parking Lot),NO,"68 MAGNOLIA ST, 32204",53812,53812,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,
28,089020 0000,089020 0000,0.06,Occupied Land (parking Lot),NO,"0 MAGNOLIA ST, 32204; Magnolia/Stonewall",34125,34125,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,
28,089019 0000,089019 0000,0.25,Occupied Land (parking Lot),NO,"82 MAGNOLIA ST, 32204",137812,137812,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,
29,088985 0100,088985 0100,0.08,Right of Way,NO,"0 LEILA ST, 32204; Leila/Magnolia/Riverside",52260,52260,Brooklyn,CCBD,Unlimited,NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy,"ROW, currently managed by Real Estate Division "
30,074784 0000,074784 0000,0.24,Vacant Building,YES,"905 FORSYTH ST W, 32204",128858,128858,LaVilla,CCBD,75',NO,NO,NO,NO,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,RDA and Disposition currently being negotiated pursuant to a Notice of Disposition. Former Lee & Cates Glass building. Title issue.
31,075159 0000,075159 0000,0.35,Vacant Land,YES,"0 ADAMS ST W, 32204; Adams/Madison/Houston",231300,231300,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
31,075153 0000,075153 0000,0.41,Vacant Land,YES,"735 HOUSTON, 32204",287490,287490,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
31,	075156 0000,	075156 0000,0.09,Vacant Land,YES,"0 ADAMS ST W, 32204; Adams/Madison/Houston",58800,58800,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
32,074943 0000,074943 0000,0.54,Occupied Land (parking lot),NO,"746 MONROE ST W, 32202",374041,374041,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Part of Elkins RDA to be conveyed to developer.
33,074973 0000,074973 0000,0.13,Vacant Land,YES,"0 MONROE ST W, 32204; Monroe/Davis/Duval/Madison",67524,67524,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Reserved until completion of Master Park Plan, possible park site"
33,074966 0000,074966 0000,0.06,Vacant Land,YES,"0 DUVAL ST W, 32202; Duval/Madison/Monroe/Davis",30312,30312,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Reserved until completion of Master Park Plan, possible park site"
33,074967 0000,074967 0000,0.23,Vacant Land,NO,"0 DAVIS ST N, 32202; Davis/Duval/Madison/Monroe",120481,120481,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Portion leased to North Florida Land Trust
33,074969 0100,074969 0100,0.26,Vacant Land,NO,"0 DUVAL ST W, 32202; Duval/Madison/Monroe/Davis",134876,134876,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Portion leased to North Florida Land Trust
33,074970 0010,074970 0010,0.23,Old Brewster Hospital,NO,"0 MONROE ST W, 32204; Monroe/Davis/Duval/Madison",272285,272285,LaVilla,CCBD,75',NO,NO,NO,NO,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Leased to North Florida Land Trust
33,074965 0000,074965 0000,0.05,Vacant Land,YES,"0 DUVAL ST W, 32202; Duval/Madison/Monroe/Davis",24852,24852,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Reserved until completion of Master Park Plan, possible park site"
34,074688 0000,074688 0000,0.1,Vacant Land,YES,"0 MONROE ST, 32204; Monroe/Jefferson/Duval/Davis",62955,62955,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
34,074689 0000,074689 0000,0.2,Vacant Land,YES,"0 JEFFERSON ST, 32204; Jefferson/Monroe/Madison/Duval",130695,130695,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
35,074691 0000,074691 0000,0.13,Vacant Land,YES,"0 DUVAL ST W, 32202; Intersection of Duval & Jefferson",86580,86580,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,In use for adjacent parking
36,075181 0000,075181 0000,1.18,Vacant Land & Vacant Building on Site,YES,"816 UNION ST W, 32202",396941,396941,LaVilla,CCBD,75',NO,NO,NO,NO,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,LaVilla Neighborhood Development Strategy calls for a portion of the site to become Gateway Entry Park into LaVilla; focus on arts; Adjacent parcels slated for Multifamily with retail on a portion of the first floor.
36,074727 0000,074727 0000,0.15,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",58544,58544,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074728 0000,074728 0000,0.07,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",23576,23576,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074729 0000,074729 0000,0.07,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",23552,23552,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074730 0000,074730 0000,0.06,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",20528,20528,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074731 0000,074731 0000,0.06,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",20504,20504,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074732 0000,074732 0000,0.12,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",41128,41128,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074733 0000,074733 0000,0.06,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",2224,2224,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074734 0000,074734 0000,0.08,Vacant Land,YES,"0 JEFFERSON ST, 32202; Jefferson/Beaver/Union",27968,27968,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074735 0000,074735 0000,0.06,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",22072,22072,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074736 0000,074736 0000,0.03,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",11032,11032,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074737 0000,074737 0000,0.32,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",109072,109072,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074738 0000,074738 0000,0.13,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",43840,43840,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074739 0000,074739 0000,0.13,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",44280,44280,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,074740 0000,074740 0000,0.25,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",76664,76664,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075174 0000,075174 0000,0.19,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",76664,76664,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075175 0000,075175 0000,0.12,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",40728,40728,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075176 0000,075176 0000,0.16,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/Beaver/Davis",55056,55056,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075177 0000,075177 0000,0.09,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",30056,30056,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075178 0000,075178 0000,0.14,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",50528,50528,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075179 0000,075179 0000,0.13,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",58200,58200,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
36,075180 0000,075180 0000,0.1,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Jefferson/Union/Davis",34840,34840,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
37,074757 0000,074757 0000,0.29,Vacant Land,YES,"0 JEFFERSON ST, 32202; Jefferson/Union/Madison/State",100288,100288,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
38,074653 0000,074653 0000,0.14,Vacant Land,YES,"0 UNION ST W, 32202; Union/Jefferson/State/Broad",48368,48368,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
39,074615 0000,074615 0000,0.06,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Broad/Ashley/Jefferson",40995,40995,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
39,074612 0000,074612 0000,0.12,Vacant Land,YES,"0 BEAVER ST W, 32202; Beaver/Broad/Ashley/Jefferson",80400,80400,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
39,074606 0000,074606 0000,0.27,Vacant Land,YES,"0 ASHLEY ST W, 32202; Intersection of Ashley & Jefferson",177960,177960,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Parcel used informally for adjacent parking
39,074611 0000,074611 0000,0.24,Vacant Land,YES,"632 BEAVER ST, 32202",159060,159060,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
40,074599 0000,074599 0000,0.23,Vacant Land,YES,"530 BROAD ST N, 32202",148249,148249,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
